"x_time","y_time"
"22.526041666666668","(-0.6640517769835593-1.015968474209285j)"
"22.55859375","(-0.7339672191844815-0.14520342134325348j)"
"22.591145833333336","(0.6071380812150267-0.990544677045313j)"
"22.623697916666668","(0.19400137730048628+0.2806451811532728j)"
"22.65625","(0.04781454360764887+0.2806451811532728j)"
"22.688802083333336","(-0.7403231684754744+0.6302223921578839j)"
"22.721354166666668","(-0.695831523438524-1.009612524918292j)"
"22.75390625","(0.848664154272758+0.1916618910793718j)"
"22.786458333333336","(1.4079876918801357-0.4185092408559495j)"
"22.819010416666668","(-0.14921988441313197+0.6620021386128486j)"
"22.8515625","(0.7024773205799206+0.9670877045805091j)"
"22.884114583333336","(1.4524793369170865+0.3060689783172445j)"
"22.916666666666668","(0.7406130163258783-0.6536793646226878j)"
"22.94921875","(1.9609552801965207+0.48403555846504653j)"
"22.981770833333336","(1.4969709819540369+1.1641221326012898j)"
"23.014322916666668","(0.7660368134898499+1.183189980474269j)"
"23.046875","(1.8338362943766622+0.973443653871502j)"
"23.079427083333336","(1.7766327507577255+1.437427952113986j)"
"23.111979166666668","(1.2554449088963056+2.123870475541222j)"
"23.14453125","(0.2003573265914792+2.5306512301647697j)"
"23.177083333333336","(0.028746695734670077+1.5899707350978163j)"
"23.209635416666668","(0.6007821319240337+2.7721773032225014j)"
"23.2421875","(2.1961254039632587+1.7742932645366112j)"
"23.274739583333336","(0.15586568155452865+0.8018330230146931j)"
"23.307291666666668","(-0.5369327911637007+0.12174644887844957j)"
"23.33984375","(-0.1873555801590895-0.5329163280938222j)"
"23.372395833333336","(-0.4479495010897997+0.7319175808137709j)"
"23.404947916666668","(0.07959429006261352-0.32317000149105546j)"
"23.4375","(0.4037477039032529-0.7680864518605606j)"
"23.470052083333336","(0.16222163084552157-2.1028358029690755j)"
"23.502604166666668","(-1.6428679677964704-1.7214788455094998j)"
"23.53515625","(0.2448489716284297+0.15988214462440714j)"
"23.567708333333336","(-0.9754932922422127+0.26157733328029403j)"
"23.600260416666668","(-0.03481279717525922-2.376141622481772j)"
"23.6328125","(0.028746695734670077-1.3909694823778675j)"
"23.665364583333336","(-1.394985945447746-1.5053765696157404j)"
"23.697916666666668","(-0.44159355179880677-1.3019861923039668j)"
"23.73046875","(-1.623800119923492-1.2193588515210587j)"
"23.763020833333336","(-1.5538846777225694+0.6556461893218557j)"
"23.795572916666668","(-1.045408734443135+0.4522558120100819j)"
"23.828125","(0.0033228985706983574+1.0115793496174597j)"
"23.860677083333336","(-1.3886299961567532+0.7064937836497991j)"
"23.893229166666668","(-1.2551550610459017+2.0031074390123567j)"
"23.92578125","(-0.4352376025078138+1.3103089662941274j)"
"23.958333333333336","(0.4609512475221893+2.263701359943067j)"
"23.990885416666668","(-1.1089682273530646+1.545479090060866j)"
"24.0234375","(0.575358334760062+0.9543758059985232j)"
"24.055989583333336","(-0.6322720305285946+2.4925155344188124j)"
"24.088541666666668","(0.13679783368154988+2.625990469529664j)"
"24.12109375","(-0.04116874646625215+1.1704780818922829j)"
"24.153645833333336","(0.34654416028431656+0.1026786010054708j)"
"24.186197916666668","(1.935531483032549+0.712849732940792j)"
"24.21875","(0.03510264502566301+0.0073393616405768355j)"
"24.251302083333336","(0.9630712415106306+0.09632265171447786j)"
"24.283854166666668","(1.9291755337415561+0.1980178403703647j)"
"24.31640625","(1.1473937709494255-0.8062221476065181j)"
"24.348958333333336","(1.2300211117323339-1.009612524918292j)"
"24.381510416666668","(2.482143122057941-1.1367315107381504j)"
"24.4140625","(2.1389218603443227-0.6981710096596384j)"
"24.446614583333336","(1.617734018482902-0.09435582701531003j)"
"24.479166666666668","(2.1961254039632587-0.9841887277543201j)"
"24.51171875","(1.1728175681133972-1.9566489692762388j)"
"24.544270833333336","(1.382563894716164-1.1240196121561645j)"
"24.576822916666668","(0.8550201035637509-0.8443578433524758j)"
"24.609375","(1.617734018482902-2.5731760505025525j)"
"24.641927083333336","(-0.09201634079419559-0.20240696496218988j)"
"24.674479166666668","(-0.14286393512213902-0.36130569723701317j)"
"24.70703125","(-0.2509150730690188-1.1430874600291434j)"
"24.739583333333336","(-1.3822740468657602-1.282918344430988j)"
"24.772135416666668","(-0.4098138053438421-0.5837639224217656j)"
