"x_freq","y_freq"
"83.001953125","2859584.753479496"
"83.05198669433594","3302687.6359036746"
"83.1019515991211","1851002.1731097056"
"83.15198516845703","4626417.671844983"
"83.20195007324219","6633165.079811868"
"83.25198364257812","6950230.90506124"
"83.30195617675781","2880680.4799165064"
"83.35198974609375","2621265.474710764"
"83.4019546508789","4539035.398068073"
"83.45198822021484","7563216.214465901"
"83.501953125","35611644.2612088"
"83.55198669433594","78160791.28449336"
"83.6019515991211","11487882.679200837"
"83.65198516845703","12608880.085511718"
"83.70195007324219","9427260.035092516"
"83.75198364257812","5623913.410655382"
"83.80195617675781","4962055.9154017465"
"83.85198974609375","6946813.38789182"
"83.9019546508789","7923703.63603776"
"83.95198822021484","2027904.3117647916"
"83.9019546508789","6891460.053017384"
"83.95198822021484","3617565.8669628436"
