freq	ut	um
83000000.0	1.5	2.2
83100000.0	1.51	2.2
83200000.0	1.51	2.2
83300000.0	1.52	2.2
83400000.0	1.53	2.2
83500000.0	1.54	2.2
83600000.0	1.55	2.2
83700000.0	1.56	2.2
83800000.0	1.56	2.2
83900000.0	1.57	2.2
84000000.0	1.57	2.2
